"","Wardcode","Population2011Census.x","Crimerate","Openspace","hhSocialRented","JobSeekers","Noqual","Carsperhousehold","districtcode.x","MyID","Wardname","Population2011Census.y","GeneralFertilityRate","Malelifeexpectancy","Femalelifeexpectancy","District","Districtcode","districtcode.y","Children","Greaterthan65","nonwhite","NotBorninUK","NotEnglishspeaking"
"391","00BEGK",12839,108.6,30,68.4,10.3,21.8,0.4,"00BE","00BE12839","Southwark - Faraday",12839,65.5,78.3,83.5,"Southwark"," 00BE","00BE",23.2416854895241,7,60.7,45.9,14.6
"392","00AZGJ",14567,90.4,30.1,40.9,9.9,30.2,0.7,"00AZ","00AZ14567","Lewisham - Downham",14567,66.7,74.3,81.8,"Lewisham"," 00AZ","00AZ",24.7065284547264,12.7,41.7,24.8,6.2
"393","00ABGG",11478,91.9,30.3,13.1,5.6,22.7,1.1,"00AB","00AB11478","Barking and Dagenham - Longbridge",11478,98.4,76.5,82.4,"Barking and Dagenham"," 00AB","00AB",NA,NA,NA,NA,NA
"394","00BGFZ",14781,113.1,30.3,42.8,10.5,21.4,0.4,"00BG","00BG14781","Tower Hamlets - Bow East",14781,64.2,71.3,80.8,"Tower Hamlets"," 00BG","00BG",17.4616061159597,7.4,39.9,30.9,10.9
"395","00ALGW",10399,61.6,30.5,44.1,6.2,30.8,0.9,"00AL","00AL10399","Greenwich - Eltham West",10399,47.9,74.2,81.7,"Greenwich"," 00AL","00AL",21.9924992787768,12.3,24.6,21.3,6.4
"396","00AKHF",14377,74.6,30.5,26.3,9.5,30.2,1,"00AK","00AK14377","Enfield - Turkey Street",14377,74.1,76.2,81.4,"Enfield"," 00AK","00AK",25.5129721082284,11.5,37.9,31,14.1
"397","00BCGJ",13069,93.8,30.6,8.5,8.4,18.1,1,"00BC","00BC13069","Redbridge - Goodmayes",13069,103,79.9,83.2,"Redbridge"," 00BC","00BC",24.0875353890887,8,75.2,46.3,18.5
"398","00BBGF",13411,136,30.6,41.4,9.5,25.3,0.7,"00BB","00BB13411","Newham - Custom House",13411,91.8,73.7,77.4,"Newham"," 00BB","00BB",24.0548803221236,6.6,53.5,46.9,19.6
"399","00BKGQ",10828,1658,30.7,28,6.1,10.7,0.4,"00BK","00BK10828","Westminster - St. James's",10828,37.2,80.4,86.4,"Westminster"," 00BK","00BK",NA,NA,NA,NA,NA
"400","00ASGY",14106,147.8,30.8,30.1,7.9,24.7,1,"00AS","00AS14106","Hillingdon - Townfield",14106,94.6,74.8,79.4,"Hillingdon"," 00AS","00AS",23.1958032043102,9.8,62.9,44.7,18.1
"401","00BBGB",15141,121.2,30.9,36.5,6.5,19.2,0.7,"00BB","00BB15141","Newham - Beckton",15141,55.1,81.9,82.6,"Newham"," 00BB","00BB",21.9932633247474,4.8,54.2,49.7,23.5
"402","00AQGE",10693,50.8,31.1,8.5,2.4,15.4,1.4,"00AQ","00AQ10693","Harrow - Hatch End",10693,55.3,82,84.3,"Harrow"," 00AQ","00AQ",18.6851211072664,19.8,43.3,33,9.1
"403","00ARGF",11977,46.7,31.2,3.9,2.5,23.1,1.6,"00AR","00AR11977","Havering - Emerson Park",11977,52.2,78.7,81.3,"Havering"," 00AR","00AR",16.3062536528346,21.3,17.7,11.4,1.7
"404","00APGJ",10784,81,31.2,9.4,3,8.3,0.9,"00AP","00AP10784","Haringey - Muswell Hill",10784,56.3,77.4,81.5,"Haringey"," 00AP","00AP",17.8783382789318,12.1,16.2,26.1,7
"405","00AHGR",10801,87.4,31.2,42.2,7.9,34.8,1,"00AH","00AH10801","Croydon - New Addington",10801,72.7,74.4,80.5,"Croydon"," 00AH","00AH",25.8031663734839,12.7,23.7,13.9,3
"406","00BHFZ",14086,95.7,31.2,15.7,8.2,18.7,0.9,"00BH","00BH14086","Waltham Forest - Chapel End",14086,103.4,75.8,86.7,"Waltham Forest"," 00BH","00BH",24.116143688769,8,48.5,36.9,14.1
"407","00BHGK",11337,85.8,31.4,17.4,6.6,26.2,1.1,"00BH","00BH11337","Waltham Forest - Larkswood",11337,71.4,77.5,83.6,"Waltham Forest"," 00BH","00BH",19.978830378407,15.3,31.2,21.8,6.3
"408","00ASGP",12199,308,31.4,14.8,3.7,19.2,1.1,"00AS","00AS12199","Hillingdon - Heathrow Villages",12199,86.9,75.8,82.8,"Hillingdon"," 00AS","00AS",20.8213788015411,9.4,50,43.2,17.1
"409","00ALGR",14385,66.2,31.6,41.1,7.4,20.8,0.7,"00AL","00AL14385","Greenwich - Charlton",14385,89.3,74.1,79.9,"Greenwich"," 00AL","00AL",21.8143899895725,10.7,36.2,31,9.4
"410","00AEGK",15772,83.4,31.6,26.6,6.7,18.1,1,"00AE","00AE15772","Brent - Barnhill",15772,79,79.6,82.7,"Brent"," 00AE","00AE",20.8787725082425,12.3,69.7,56.5,22.9
"411","00AYFZ",9675,311.9,31.6,41.8,6.9,14.5,0.4,"00AY","00AY9675","Lambeth - Bishop's",9675,38.2,78,84,"Lambeth"," 00AY","00AY",11.4521963824289,8.7,42,43,13.7
"412","00BJGT",16402,43.9,31.9,23.6,4.7,14.3,0.8,"00BJ","00BJ16402","Wandsworth - West Hill",16402,56.1,75.8,78.3,"Wandsworth"," 00BJ","00BJ",18.8452627728326,9.5,31.7,43.5,13.5
"413","00AEGW",12811,68.6,32,16.2,3.1,13.4,1.3,"00AE","00AE12811","Brent - Northwick Park",12811,39.4,80.7,81.6,"Brent"," 00AE","00AE",16.6887830770432,13.2,68.8,53.3,19.8
"414","00ASHB",14370,81.8,32,26.4,5.3,24.3,1.1,"00AS","00AS14370","Hillingdon - West Drayton",14370,77.9,75.3,81.9,"Hillingdon"," 00AS","00AS",22.7557411273486,11.5,33.5,27.6,9.2
"415","00ACGS",17402,120.5,32,16.8,5,17.8,0.9,"00AC","00AC17402","Barnet - West Hendon",17402,85.8,78.2,84.3,"Barnet"," 00AC","00AC",19.8080680381565,11.4,50.6,53.6,24.7
"416","00ARGN",12915,59.9,32.1,11.4,5,29.6,1.2,"00AR","00AR12915","Havering - Mawneys",12915,65.3,80.2,89.2,"Havering"," 00AR","00AR",19.4192799070848,18.1,11.5,9.3,2.5
"417","00ASGH",15034,111,32.2,25.2,7.6,24,1.1,"00AS","00AS15034","Hillingdon - Botwell",15034,94.5,75.6,82,"Hillingdon"," 00AS","00AS",24.9634162564853,9.1,60.2,42.7,17.9
"418","00BAGR",9862,57.7,32.3,5.2,2.4,13.9,1.1,"00BA","00BA9862","Merton - West Barnes",9862,82,82.9,82.4,"Merton"," 00BA","00BA",20.4421009937132,13.4,30,33.7,9.3
"419","00BKGR",8158,51.1,32.4,29.3,2.7,12.5,0.4,"00BK","00BK8158","Westminster - Tachbrook",8158,33.3,82.2,83.1,"Westminster"," 00BK","00BK",10.7501838685952,15.4,21.8,41.1,15.1
"420","00ARGP",12955,55.9,32.4,5.4,3.2,25.7,1.4,"00AR","00AR12955","Havering - Pettits",12955,59.6,81,83.9,"Havering"," 00AR","00AR",17.0204554226168,20.8,8.7,7.4,1.7
"421","00AFHB",14884,40.8,32.6,4.4,2.2,15.2,1.4,"00AF","00AF14884","Bromley - West Wickham",14884,52.2,80.9,84.7,"Bromley"," 00AF","00AF",19.8535339962376,19.7,10.6,9.7,1.3
"422","00ALGX",18171,65.6,32.6,41.4,10.5,21.4,0.6,"00AL","00AL18171","Greenwich - Glyndon",18171,91,73.2,77.4,"Greenwich"," 00AL","00AL",22.8606020582246,7.1,55,42.2,13.8
"423","00AHHC",17077,93.8,32.6,25.5,6.8,19.1,0.8,"00AH","00AH17077","Croydon - Waddon",17077,74.1,74.8,80.1,"Croydon"," 00AH","00AH",22.2755753352462,11,44.6,30.1,8.9
"424","00BDFY",10131,38.8,32.7,8,1.9,10.8,1.1,"00BD","00BD10131","Richmond upon Thames - Fulwell and Hampton Hill",10131,69.6,78.4,80.7,"Richmond upon Thames"," 00BD","00BD",NA,NA,NA,NA,NA
"425","00AXGM",9833,61.4,33.1,10.7,2.7,18.4,1.2,"00AX","00AX9833","Kingston upon Thames - Tolworth and Hook Rise",9833,74,80.3,89.7,"Kingston upon Thames"," 00AX","00AX",NA,NA,NA,NA,NA
"426","00ADGB",11890,67.6,33.2,16.1,6.1,23.7,1,"00AD","00AD11890","Bexley - Belvedere",11890,78.6,77.9,82.5,"Bexley"," 00AD","00AD",22.3549201009251,12.7,28.4,20.4,5.1
