"","Wardcode","Population2011Census.x","Crimerate","Openspace","hhSocialRented","JobSeekers","Noqual","Carsperhousehold","districtcode.x","MyID","Wardname","Population2011Census.y","GeneralFertilityRate","Malelifeexpectancy","Femalelifeexpectancy","District","Districtcode","districtcode.y","Children","Greaterthan65","nonwhite","NotBorninUK","NotEnglishspeaking"
"477","00BJGK",16331,83.2,38.5,30.7,4.6,11.9,0.5,"00BJ","00BJ16331","Wandsworth - Queenstown",16331,42,76.9,84.6,"Wandsworth"," 00BJ","00BJ",14.1877411058723,7.8,35.7,42.4,15.4
"478","00BFGD",10667,61.1,39.1,35.9,6.2,21,1.3,"00BF","00BF10667","Sutton - Beddington South",10667,59.6,76.9,83.7,"Sutton"," 00BF","00BF",22.0399362519921,13.9,28.8,20.1,4.2
"479","00ATGK",12438,126.4,39.1,33.7,7,21.8,1.1,"00AT","00AT12438","Hounslow - Heston West",12438,87.3,79.7,82.5,"Hounslow"," 00AT","00AT",22.969930857051,10.3,76.2,51.1,23.9
"480","00AEGP",13445,78.7,39.3,13.9,5.1,20.3,1.1,"00AE","00AE13445","Brent - Fryent",13445,94,82.2,90.2,"Brent"," 00AE","00AE",20.8627742655262,11.8,62.7,55.9,21.9
"481","00ALHF",17499,105.3,39.4,50,13.4,21.8,0.6,"00AL","00AL17499","Greenwich - Woolwich Common",17499,100.5,73.9,85.4,"Greenwich"," 00AL","00AL",26.9101091490942,5.9,57.6,41.8,13.6
"482","00AHGQ",14966,39.8,39.6,11.4,4,14.6,1.3,"00AH","00AH14966","Croydon - Kenley",14966,76,78,80.7,"Croydon"," 00AH","00AH",20.7603902178271,14.9,23.2,17.9,3
"483","00AKGS",16469,70.7,39.6,22.7,11,26.5,0.9,"00AK","00AK16469","Enfield - Enfield Lock",16469,91.1,76.4,79.1,"Enfield"," 00AK","00AK",27.2876313073046,8.2,45.1,33.8,14
"484","00BHGL",15671,127.3,40.1,18.4,11.9,23,0.6,"00BH","00BH15671","Waltham Forest - Lea Bridge",15671,107,73.2,77.7,"Waltham Forest"," 00BH","00BH",23.8912641184353,8.4,64.8,50.4,21.2
"485","00ACGB",17250,85.4,40.3,13.4,4.9,15,1,"00AC","00AC17250","Barnet - Coppetts",17250,72.5,76.7,81.1,"Barnet"," 00AC","00AC",19.7101449275362,10.3,35,36.1,13.6
"486","00BEGX",13435,85.7,40.3,23.9,3.7,11.8,0.6,"00BE","00BE13435","Southwark - Surrey Docks",13435,57.5,85.5,82.9,"Southwark"," 00BE","00BE",12.1697059918124,5.7,30.9,42.7,15.4
"487","00BHGC",12609,118.8,40.4,13.6,7.4,19.3,0.8,"00BH","00BH12609","Waltham Forest - Forest",12609,99.6,77.9,80.7,"Waltham Forest"," 00BH","00BH",19.3591878816718,9.3,58.7,45.7,18.4
"488","00AFGZ",15122,59.5,40.5,17.4,4.7,18.6,1,"00AF","00AF15122","Bromley - Plaistow and Sundridge",15122,68.7,77.8,81.2,"Bromley"," 00AF","00AF",NA,NA,NA,NA,NA
"489","00BFGU",11630,69.2,40.5,33.6,6.6,23.7,1,"00BF","00BF11630","Sutton - Wandle Valley",11630,79.3,77.3,84.6,"Sutton"," 00BF","00BF",24.067067927773,9,24.8,19.8,5.7
"490","00ASGJ",13841,90.4,40.5,22,3.3,17.6,1.1,"00AS","00AS13841","Hillingdon - Brunel",13841,47.2,78.2,83.4,"Hillingdon"," 00AS","00AS",15.5263348023987,11.1,38.2,29.3,9.8
"491","00AKGY",16531,71.9,40.6,27.4,11.5,28.5,0.7,"00AK","00AK16531","Enfield - Lower Edmonton",16531,111.2,75.7,79.8,"Enfield"," 00AK","00AK",27.4514548424173,9.2,58.9,46.1,19.5
"492","00AKGR",16027,87.8,40.6,24.4,9.6,30.1,1,"00AK","00AK16027","Enfield - Enfield Highway",16027,70.6,78.1,86.2,"Enfield"," 00AK","00AK",26.2556935171897,10.3,42.2,34.3,14.5
"493","00ALHC",16736,98.1,41,27.3,11,21.6,0.7,"00AL","00AL16736","Greenwich - Plumstead",16736,106.6,74,83.3,"Greenwich"," 00AL","00AL",23.3568355640535,8.6,55.4,41.7,14.6
"494","00ASHE",12979,117.7,41.3,27.3,5.5,23.7,1,"00AS","00AS12979","Hillingdon - Yiewsley",12979,72,74.9,81.1,"Hillingdon"," 00AS","00AS",22.3437861160336,9.3,33.8,27.7,10
"495","00BHGE",11355,74.8,41.4,18.8,6.8,20,1.1,"00BH","00BH11355","Waltham Forest - Hale End and Highams Park",11355,75.5,80.2,84.3,"Waltham Forest"," 00BH","00BH",NA,NA,NA,NA,NA
"496","00ATGE",15541,92.2,41.4,27.2,4.5,20.5,1,"00AT","00AT15541","Hounslow - Feltham West",15541,93.6,77.1,82.7,"Hounslow"," 00AT","00AT",24.9919567595393,6.3,35.5,32.3,14.2
"497","00ATGG",11408,99.1,41.4,21.3,3.8,23.4,1.1,"00AT","00AT11408","Hounslow - Hanworth Park",11408,72.7,77.7,82.4,"Hounslow"," 00AT","00AT",20.4680925666199,12,30.8,28.5,10.9
"498","00BAGN",10414,66.5,41.6,31,6.2,23.7,0.9,"00BA","00BA10414","Merton - St. Helier",10414,98.3,78.6,81.6,"Merton"," 00BA","00BA",NA,NA,NA,NA,NA
"499","00BDGF",10919,60.3,41.7,16,2.3,9.8,0.9,"00BD","00BD10919","Richmond upon Thames - Mortlake and Barnes Common",10919,96.8,77.8,85.5,"Richmond upon Thames"," 00BD","00BD",NA,NA,NA,NA,NA
"500","00AXGD",10357,56.8,42.1,11.6,2.3,10.7,1.3,"00AX","00AX10357","Kingston upon Thames - Coombe Hill",10357,43.9,80.4,83,"Kingston upon Thames"," 00AX","00AX",18.8181905957324,14.4,35.5,40.6,13.9
"501","00BGFY",19461,90,42.2,28.6,6.7,14.6,0.5,"00BG","00BG19461","Tower Hamlets - Blackwall and Cubitt Town",19461,75.1,77.4,83.4,"Tower Hamlets"," 00BG","00BG",NA,NA,NA,NA,NA
"502","00ATGA",11346,103.6,42.2,16.4,2.3,9.3,0.9,"00AT","00AT11346","Hounslow - Chiswick Homefields",11346,52.3,78.7,83.6,"Hounslow"," 00AT","00AT",18.3324519654504,11.3,18.8,34,9.8
"503","00APGG",11632,77.9,42.4,11.1,3.3,6.4,0.8,"00AP","00AP11632","Haringey - Highgate",11632,50,79.5,85.4,"Haringey"," 00AP","00AP",15.3627922971114,11.7,18.9,31.5,8.2
"504","00ATGS",13554,94.2,42.5,27.4,4.1,16.4,0.9,"00AT","00AT13554","Hounslow - Syon",13554,80.3,73,79.4,"Hounslow"," 00AT","00AT",19.1382617677438,9.5,34.2,36.7,13.5
"505","00BAFY",9249,40.6,42.7,5.5,2.9,17,1.2,"00BA","00BA9249","Merton - Cannon Hill",9249,66.9,79.7,83.6,"Merton"," 00BA","00BA",17.7316466645043,15.8,25.4,29.6,7.7
"506","00ADGH",11226,61.3,42.7,21.8,4.7,25.3,1.1,"00AD","00AD11226","Bexley - Crayford",11226,64.2,77.4,87.5,"Bexley"," 00AD","00AD",21.6907179761268,14.6,11.7,10,1.9
"507","00ATFZ",14353,84.3,42.9,37.7,3.9,17.2,0.8,"00AT","00AT14353","Hounslow - Brentford",14353,62.7,76.7,85.7,"Hounslow"," 00AT","00AT",17.9126315056086,9.9,33.9,38.3,15
"508","00BGGA",12939,145.3,43,39,8.8,20.3,0.5,"00BG","00BG12939","Tower Hamlets - Bow West",12939,60.3,74,80.9,"Tower Hamlets"," 00BG","00BG",19.2596027513718,7.8,40.7,32,11.3
"509","00AWGP",7252,120,43.1,13.6,1.8,9,0.8,"00AW","00AW7252","Kensington and Chelsea - Royal Hospital",7252,52.3,80.5,89.6,"Kensington and Chelsea"," 00AW","00AW",NA,NA,NA,NA,NA
"510","00AQGC",12270,65,43.4,13.8,3.4,13.3,1,"00AQ","00AQ12270","Harrow - Harrow on the Hill",12270,78.4,81.2,84.2,"Harrow"," 00AQ","00AQ",20.8149959250204,11.7,52.6,44.2,15.1
"511","00AXFX",9246,49.2,43.5,4.9,2.1,15.8,1.4,"00AX","00AX9246","Kingston upon Thames - Alexandra",9246,55.1,80.8,84.4,"Kingston upon Thames"," 00AX","00AX",20.8630759247242,14.8,29.8,27.2,8.2
"512","00AFGT",15892,79.6,43.6,8.6,3.1,17.1,1.3,"00AF","00AF15892","Bromley - Kelsey and Eden Park",15892,46.1,82,85,"Bromley"," 00AF","00AF",NA,NA,NA,NA,NA
"513","00ACGQ",15915,64.4,43.7,25.7,5.4,21.6,1.1,"00AC","00AC15915","Barnet - Underhill",15915,48.9,78.2,82.6,"Barnet"," 00AC","00AC",20.5717876217405,16.2,27.3,25.4,6.9
"514","00BEGG",11812,92.9,43.7,27.2,5.8,13.6,0.8,"00BE","00BE11812","Southwark - College",11812,69.5,75.8,81.6,"Southwark"," 00BE","00BE",20.4029800203183,11.7,36.6,30.7,5.3
"515","00ANGD",9175,133.2,43.8,55.9,7.9,23,0.4,"00AN","00AN9175","Hammersmith and Fulham - College Park and Old Oak",9175,46.5,74.4,83.1,"Hammersmith and Fulham"," 00AN","00AN",NA,NA,NA,NA,NA
"516","00ALGP",15704,82.9,43.9,38.9,9,25.3,0.7,"00AL","00AL15704","Greenwich - Abbey Wood",15704,105.3,74.3,81.1,"Greenwich"," 00AL","00AL",26.8530310748854,9.6,46.3,32,7.6
"517","00AFGU",9987,91.1,44.4,31.9,7.3,26,1,"00AF","00AF9987","Bromley - Mottingham and Chislehurst North",9987,70,76.6,81.2,"Bromley"," 00AF","00AF",NA,NA,NA,NA,NA
"518","00ABGL",10728,143.8,44.4,44.4,9.2,24.1,0.7,"00AB","00AB10728","Barking and Dagenham - Thames",10728,115.1,79.2,84.2,"Barking and Dagenham"," 00AB","00AB",NA,NA,NA,NA,NA
"519","00AKHA",15664,93,44.5,25.6,13.7,26.9,0.8,"00AK","00AK15664","Enfield - Ponders End",15664,61.6,77.6,80.8,"Enfield"," 00AK","00AK",25.9001532175689,9.1,54.6,43.5,19
"520","00ADGM",12053,86,44.6,20.2,6.6,23.6,1,"00AD","00AD12053","Bexley - Erith",12053,106.7,78.3,82.8,"Bexley"," 00AD","00AD",23.6372687297768,11.7,31.4,23.1,5.6
"521","00ASGL",12622,69.4,44.9,9.7,4.2,21.6,1.3,"00AS","00AS12622","Hillingdon - Charville",12622,83.5,81.6,86,"Hillingdon"," 00AS","00AS",22.8014577721439,12.5,43.9,30.1,9.7
"522","00ARGC",14957,76.8,44.9,17.4,5,24.9,1,"00AR","00AR14957","Havering - Brooklands",14957,67.1,73.8,77.7,"Havering"," 00AR","00AR",21.0670589021863,13.5,22.3,17.4,4.4
"523","00ARGT",13544,87.6,45,19.8,7.3,31.4,1.2,"00AR","00AR13544","Havering - South Hornchurch",13544,63.2,76.9,81.8,"Havering"," 00AR","00AR",21.0351447135263,16.6,16.4,11.8,2.5
"524","00ARGL",12570,72.6,45.3,37.1,8.8,35.8,1,"00AR","00AR12570","Havering - Heaton",12570,61.6,76.7,81,"Havering"," 00AR","00AR",21.9252187748608,16.8,16.3,13,2.5
"525","00ATGF",12155,84.9,45.3,38.6,6.7,26.4,1,"00AT","00AT12155","Hounslow - Hanworth",12155,85,77.5,87.1,"Hounslow"," 00AT","00AT",24.2040312628548,11,32.4,28.9,11.3
"526","00APGF",13272,108.9,45.4,13.9,9.3,14,0.5,"00AP","00AP13272","Haringey - Harringay",13272,64,78.4,81.8,"Haringey"," 00AP","00AP",14.7679324894515,7.5,34.5,49.2,24.3
"527","00BDGN",10528,48.8,45.6,11.5,2.1,13.4,1.1,"00BD","00BD10528","Richmond upon Thames - West Twickenham",10528,88.4,79.2,83.4,"Richmond upon Thames"," 00BD","00BD",21.7895136778116,11.7,16,21.1,4.4
"528","00BEGR",13518,62.3,45.7,25.3,5.8,13.8,0.7,"00BE","00BE13518","Southwark - Peckham Rye",13518,75.6,75.6,81.2,"Southwark"," 00BE","00BE",20.2914632342062,8,35.8,28.8,5.9
"529","00AQGS",11229,62.5,45.8,15,3.2,19.7,1.4,"00AQ","00AQ11229","Harrow - Stanmore Park",11229,67.4,80.2,81.1,"Harrow"," 00AQ","00AQ",17.3479383738534,22.4,43.3,34.5,8.8
"530","00ABGH",10342,83.4,45.8,38.6,9.6,32.1,0.8,"00AB","00AB10342","Barking and Dagenham - Mayesbrook",10342,104.5,76.6,82.2,"Barking and Dagenham"," 00AB","00AB",NA,NA,NA,NA,NA
"531","00AZGD",14775,103.1,46.7,44,9.5,25.4,0.7,"00AZ","00AZ14775","Lewisham - Bellingham",14775,76.6,75.2,79.1,"Lewisham"," 00AZ","00AZ",25.1573604060914,10.2,51.3,29.6,6.2
"532","00ADGT",10491,41.7,46.8,4.1,2.1,18.9,1.4,"00AD","00AD10491","Bexley - St. Mary's",10491,61.2,80.7,92.6,"Bexley"," 00AD","00AD",NA,NA,NA,NA,NA
"533","00AJGE",13910,80.6,47.3,28.4,8.9,23.5,1,"00AJ","00AJ13910","Ealing - Dormers Wells",13910,76.8,77,82.3,"Ealing"," 00AJ","00AJ",22.3939611790079,11.6,82.1,56,29.1
"534","00BDGJ",10820,123.3,47.3,13.9,2,7.1,0.9,"00BD","00BD10820","Richmond upon Thames - South Richmond",10820,55.2,78.7,83.6,"Richmond upon Thames"," 00BD","00BD",16.5526802218115,14,13.1,33,8.5
"535","00AJGU",14032,124.6,47.6,34.7,10.1,21.8,1.1,"00AJ","00AJ14032","Ealing - Norwood Green",14032,70.7,78.2,79.9,"Ealing"," 00AJ","00AJ",20.6242873432155,10.7,78,50.7,25.6
"536","00BJGA",14575,62.2,47.9,16.1,2.9,9.1,0.7,"00BJ","00BJ14575","Wandsworth - Bedford",14575,51.1,78.2,82.6,"Wandsworth"," 00BJ","00BJ",14.6415094339623,7.5,27.6,30.3,8.3
"537","00ACGL",15307,81.9,47.9,7.7,2.9,13.1,1.2,"00AC","00AC15307","Barnet - High Barnet",15307,56.5,78.2,82.3,"Barnet"," 00AC","00AC",18.4556085451101,16.5,18.3,22.1,6.3
"538","00ABGN",10787,102.3,48,39.9,11.9,30.3,0.8,"00AB","00AB10787","Barking and Dagenham - Village",10787,99.1,76,80.9,"Barking and Dagenham"," 00AB","00AB",NA,NA,NA,NA,NA
"539","00ASGQ",12906,74.9,48.1,14.8,4.5,19.3,1.3,"00AS","00AS12906","Hillingdon - Hillingdon East",12906,83.7,77.6,83.5,"Hillingdon"," 00AS","00AS",23.1132806446614,11.9,34.4,23.3,6.4
"540","00BJGS",15247,60.6,48.2,12.6,2.1,11,1,"00BJ","00BJ15247","Wandsworth - Wandsworth Common",15247,72.8,76.7,79.6,"Wandsworth"," 00BJ","00BJ",18.6922017446055,8.1,17.8,25.7,4.5
"541","00BCGG",12630,91.7,48.2,9.7,5.2,21.2,1.2,"00BC","00BC12630","Redbridge - Fairlop",12630,89.8,80.2,81.1,"Redbridge"," 00BC","00BC",20.8471892319873,13.1,34.9,25.1,8.2
"542","00AHGU",12777,39.8,48.6,6.7,2.9,15.1,1.5,"00AH","00AH12777","Croydon - Sanderstead",12777,55.7,82.5,84.2,"Croydon"," 00AH","00AH",19.5585818267199,18.5,19.5,13.7,1.7
"543","00BBGP",16633,85.2,48.6,30.1,12,23.2,0.6,"00BB","00BB16633","Newham - Little Ilford",16633,107.8,71.2,78.9,"Newham"," 00BB","00BB",27.782119882162,6.7,82,54.5,27.3
"544","00ATGM",14727,97.3,48.7,20,6,15.7,0.9,"00AT","00AT14727","Hounslow - Hounslow Heath",14727,97.2,76,87.6,"Hounslow"," 00AT","00AT",23.114008284104,7.8,72.6,58,27.7
"545","00ACGJ",17437,57.6,48.8,13.6,4.1,17.8,1.2,"00AC","00AC17437","Barnet - Hale",17437,90.5,81.2,83.8,"Barnet"," 00AC","00AC",23.1060388828354,13.4,40.6,35.7,11.7
"546","00ALGY",16527,127.7,49,35.7,5.4,12.8,0.6,"00AL","00AL16527","Greenwich - Greenwich West",16527,64.3,75.6,82.1,"Greenwich"," 00AL","00AL",17.4320808374176,7.7,33.3,34.8,9.7
"547","00AFGP",12255,111.5,49.3,33.2,8.2,16.9,0.6,"00AF","00AF12255","Bromley - Crystal Palace",12255,70.6,75.5,82,"Bromley"," 00AF","00AF",19.2166462668299,7.8,38.1,30.3,8.3
"548","00AQGF",10093,38.6,49.5,4,2.5,12.9,1.4,"00AQ","00AQ10093","Harrow - Headstone North",10093,47.6,81.3,85.4,"Harrow"," 00AQ","00AQ",18.1809174675518,16.4,52.6,37,9.1
"549","00ASHC",10611,67,49.5,11,2,16.3,1.3,"00AS","00AS10611","Hillingdon - West Ruislip",10611,55.8,80.4,85.3,"Hillingdon"," 00AS","00AS",17.8588257468665,16.8,18,18.4,3.9
"550","00AFGR",14632,38.8,49.7,8.8,2.2,18.1,1.3,"00AF","00AF14632","Bromley - Farnborough and Crofton",14632,53.1,79.6,86.6,"Bromley"," 00AF","00AF",NA,NA,NA,NA,NA
"551","00BDGC",10221,55.8,50,15.1,1.8,10,1.1,"00BD","00BD10221","Richmond upon Thames - Hampton Wick",10221,60.9,79.7,84.4,"Richmond upon Thames"," 00BD","00BD",20.4383132765874,13.3,11.4,20.3,4.5
"552","00BAGA",11474,93.2,50,36.9,10.1,24.5,0.7,"00BA","00BA11474","Merton - Cricket Green",11474,120,78.5,87,"Merton"," 00BA","00BA",23.3135785253617,10.8,47.5,39.5,14.5
"553","00ABGB",10506,72.4,51.1,20,8.8,29.9,1.1,"00AB","00AB10506","Barking and Dagenham - Eastbrook",10506,65.9,76.6,79,"Barking and Dagenham"," 00AB","00AB",NA,NA,NA,NA,NA
"554","00APGA",11795,101.8,52.3,9,3.4,8,1,"00AP","00AP11795","Haringey - Alexandra",11795,65.8,79.2,83.5,"Haringey"," 00AP","00AP",21.6108520559559,9.9,20.5,26.8,8.5
"555","00ATFY",12701,94.5,52.5,26.9,5.1,24,1.1,"00AT","00AT12701","Hounslow - Bedfont",12701,83.9,77.3,80.9,"Hounslow"," 00AT","00AT",22.2344697267932,11.2,35.7,31,12.5
"556","00BAGK",10287,73.5,52.8,24.1,8.4,21.7,1,"00BA","00BA10287","Merton - Pollards Hill",10287,81,80.2,85.2,"Merton"," 00BA","00BA",24.1178186060076,10.5,56.4,35.9,9.4
"557","00BFGC",10309,67.1,53,9,3.8,19.8,1.3,"00BF","00BF10309","Sutton - Beddington North",10309,69.2,79.3,83,"Sutton"," 00BF","00BF",20.6906586477835,13.3,23.5,16.6,3.8
"558","00AJGR",14713,69.6,53.3,8.3,3.8,16.9,1.2,"00AJ","00AJ14713","Ealing - North Greenford",14713,87.7,79.8,87.4,"Ealing"," 00AJ","00AJ",20.288180520628,11.4,56.4,51.4,22.1
"559","00ACGE",16728,93.7,54,15.8,4.2,17,1.2,"00AC","00AC16728","Barnet - Edgware",16728,76.4,80.1,83.6,"Barnet"," 00AC","00AC",23.3201817312291,13.8,39.2,37.4,12.1
"560","00BDGG",10649,72.6,54.1,16.9,2.1,10.2,0.9,"00BD","00BD10649","Richmond upon Thames - North Richmond",10649,76.4,83.8,86.1,"Richmond upon Thames"," 00BD","00BD",18.6590290168091,13.1,15.7,28.3,6.8
"561","00ATGR",13031,93.3,54.2,6.9,3.3,10.8,1.2,"00AT","00AT13031","Hounslow - Osterley and Spring Grove",13031,86.3,80,84.7,"Hounslow"," 00AT","00AT",NA,NA,NA,NA,NA
"562","00AGGL",11270,111,54.2,13.4,1.6,6.1,0.7,"00AG","00AG11270","Camden - Hampstead Town",11270,57.5,82.7,86.6,"Camden"," 00AG","00AG",17.4977817213842,15.9,20,40.9,10.4
"563","00BDFW",10299,61.4,54.4,17.9,2.1,9.1,1,"00BD","00BD10299","Richmond upon Thames - Barnes",10299,64,82.3,84.8,"Richmond upon Thames"," 00BD","00BD",20.4000388387222,14.7,14.3,32.2,8.3
"564","00ALGU",12541,94.6,54.6,22.4,5.5,21.5,1,"00AL","00AL12541","Greenwich - Eltham South",12541,61.9,77.4,85.8,"Greenwich"," 00AL","00AL",16.2586715572921,15.7,16.8,17.5,4.6
"565","00ANGK",7483,82.6,54.7,14.2,1.8,9.9,0.9,"00AN","00AN7483","Hammersmith and Fulham - Palace Riverside",7483,40,80.9,89,"Hammersmith and Fulham"," 00AN","00AN",NA,NA,NA,NA,NA
"566","00BHGA",10287,72.7,54.9,15.4,4.9,24.2,1.1,"00BH","00BH10287","Waltham Forest - Chingford Green",10287,60.6,77.7,84.4,"Waltham Forest"," 00BH","00BH",17.663069894041,21.8,14.7,13.1,3
"567","00AHGX",11719,39.6,55.2,2,2.7,15.2,1.5,"00AH","00AH11719","Croydon - Selsdon and Ballards",11719,51.8,84.5,89.4,"Croydon"," 00AH","00AH",NA,NA,NA,NA,NA
"568","00ALHE",19730,94.5,55.5,38,9.3,18.7,0.7,"00AL","00AL19730","Greenwich - Thamesmead Moorings",19730,122.5,74.3,77.5,"Greenwich"," 00AL","00AL",28.6467308667005,4.7,57.6,41.8,12.1
"569","00ASGR",10387,43.5,55.7,4.4,1.6,14.6,1.6,"00AS","00AS10387","Hillingdon - Ickenham",10387,57.1,81.9,85.4,"Hillingdon"," 00AS","00AS",18.638682969096,19.9,21.8,15.9,2.8
"570","00ARGE",12466,50.6,55.7,15.1,5,29.6,1.1,"00AR","00AR12466","Havering - Elm Park",12466,63.2,76.9,84.5,"Havering"," 00AR","00AR",17.9207444248356,19.4,13.7,10.9,2.1
"571","00ARGD",12528,34.7,55.9,4.8,2.7,22.2,1.3,"00AR","00AR12528","Havering - Cranham",12528,47,80.8,84.5,"Havering"," 00AR","00AR",17.2333971902937,23.5,5.6,6,1.1
"572","00AQGD",11376,65.5,56.3,15.9,4.7,19.4,1.3,"00AQ","00AQ11376","Harrow - Harrow Weald",11376,65.1,80.6,85.7,"Harrow"," 00AQ","00AQ",19.7433192686357,17.1,48.3,36.7,10.5
"573","00AJGT",15121,116.4,56.3,34.5,9.4,25.1,0.9,"00AJ","00AJ15121","Ealing - Northolt West End",15121,102.2,78.6,86,"Ealing"," 00AJ","00AJ",25.553865485087,9.8,55.1,41.5,18.6
"574","00ABGA",10021,100.4,56.4,NA,NA,NA,NA,"00AB","00AB10021","Barking and Dagenham - Chadwell Heath",10021,76.7,78.9,82.7,"Barking and Dagenham"," 00AB","00AB",NA,NA,NA,NA,NA
"575","00BHGG",14127,209.2,56.4,19,8.3,18.3,0.6,"00BH","00BH14127","Waltham Forest - High Street",14127,97.4,78.4,81.7,"Waltham Forest"," 00BH","00BH",19.5087421250088,7.6,50.7,44.4,18
"576","00AKGW",13006,40.6,56.5,7.4,3.3,18.7,1.2,"00AK","00AK13006","Enfield - Highlands",13006,50.7,81.5,90.5,"Enfield"," 00AK","00AK",16.9075811164078,18.5,20.8,20.9,5.4
"577","00BDGE",11436,61.6,56.6,9.9,1.7,7.5,1,"00BD","00BD11436","Richmond upon Thames - Kew",11436,66.7,79,88.4,"Richmond upon Thames"," 00BD","00BD",20.1556488282616,13.9,15.3,30.2,7.6
"578","00BHGH",13194,79.5,56.7,33.6,11.5,23.7,0.7,"00BH","00BH13194","Waltham Forest - Higham Hill",13194,107.4,75.8,88,"Waltham Forest"," 00BH","00BH",24.4808246172503,7.6,51.9,40.3,15.7
"579","00AHGJ",12244,39.3,56.8,12.5,3.5,18.2,1.4,"00AH","00AH12244","Croydon - Coulsdon East",12244,65.1,81.8,85.7,"Croydon"," 00AH","00AH",19.1849068931722,19.6,15.4,11.8,1.5
"580","00ALHD",13433,51.1,57.1,19.5,5.9,19.4,1,"00AL","00AL13433","Greenwich - Shooters Hill",13433,87.2,78,86.2,"Greenwich"," 00AL","00AL",20.7474130871734,12.4,33.5,23.8,5.2
"581","00AQFZ",12471,52.4,57.3,10.2,2.9,17.8,1.3,"00AQ","00AQ12471","Harrow - Canons",12471,72.9,81.1,87.2,"Harrow"," 00AQ","00AQ",18.3626012348649,19.6,48.4,40.1,12.5
"582","00ACGP",15159,49.2,57.7,8.7,2.5,13,1.3,"00AC","00AC15159","Barnet - Totteridge",15159,68.7,80.3,83,"Barnet"," 00AC","00AC",20.1068672075994,16.8,34.3,37.6,13.7
"583","00BBGT",10679,91.6,57.8,30.8,5.6,14.1,0.7,"00BB","00BB10679","Newham - Royal Docks",10679,63.9,80.6,83.1,"Newham"," 00BB","00BB",21.0693885195243,4,54.1,48.3,18.1
"584","00ACGM",18451,82.4,59,12.8,3.8,14,1.3,"00AC","00AC18451","Barnet - Mill Hill",18451,63.8,80.7,86.6,"Barnet"," 00AC","00AC",22.8171914801366,13.1,36.1,34.4,10.2
"585","00AFGF",15113,52.8,59.3,15.7,4.3,20.5,1.3,"00AF","00AF15113","Bromley - Bromley Common and Keston",15113,63.5,79.8,83.6,"Bromley"," 00AF","00AF",NA,NA,NA,NA,NA
"586","00BCGK",12953,91.1,59.8,27.3,8.4,28.9,1,"00BC","00BC12953","Redbridge - Hainault",12953,80.4,78.1,83.8,"Redbridge"," 00BC","00BC",23.0448544738671,14.1,29.8,22.2,7.4
"587","00AFGJ",14831,70.1,60,7.1,2.9,15.8,1.4,"00AF","00AF14831","Bromley - Chislehurst",14831,59.7,81.2,83,"Bromley"," 00AF","00AF",17.9826040051244,21.5,12,12.7,1.9
"588","00AKGX",14355,61.4,60.6,15.5,9.1,28.5,1,"00AK","00AK14355","Enfield - Jubilee",14355,92,77.2,82.2,"Enfield"," 00AK","00AK",23.7965865552072,11.9,50.9,40.8,16.9
"589","00ARGJ",12650,72.9,60.7,16,4.8,25.8,1.2,"00AR","00AR12650","Havering - Harold Wood",12650,60.4,79.8,82.6,"Havering"," 00AR","00AR",17.4466403162055,17.4,10.1,9.4,2.5
"590","00ASGT",10469,57.1,61,14.2,2.3,13.3,1.3,"00AS","00AS10469","Hillingdon - Northwood",10469,50.4,81.4,83.9,"Hillingdon"," 00AS","00AS",15.8276817270035,20.9,34.8,31.8,7
"591","00AHGP",13213,82.2,61.3,9.3,4.2,17.2,1.3,"00AH","00AH13213","Croydon - Heathfield",13213,56.9,84.1,83.7,"Croydon"," 00AH","00AH",19.0494210247484,15.9,24.6,16.9,2.8
"592","00ADGJ",11207,46.2,61.6,22.8,4.1,25.1,1.2,"00AD","00AD11207","Bexley - Cray Meadows",11207,61.7,76.9,79.5,"Bexley"," 00AD","00AD",20.5139644864817,17.6,11,9.9,2.3
"593","00BAGQ",8491,60.3,62.2,5.6,0.9,6.8,1.4,"00BA","00BA8491","Merton - Village",8491,49.7,82.6,86.3,"Merton"," 00BA","00BA",19.1025792015075,19.3,17.1,34,8.3
"594","00BKGP",12067,76.4,62.2,19.1,2.2,13,0.6,"00BK","00BK12067","Westminster - Regent's Park",12067,54.1,80.9,83.5,"Westminster"," 00BK","00BK",15.2979199469628,16.3,43.7,59.9,23.7
"595","00ASGX",12364,85,62.8,10.1,3.4,18.3,1.2,"00AS","00AS12364","Hillingdon - South Ruislip",12364,82.1,77.6,83.8,"Hillingdon"," 00AS","00AS",20.1957295373665,12.6,27,23.2,7.7
"596","00BDGL",10330,56.1,64,8.5,1.5,7.7,1.1,"00BD","00BD10330","Richmond upon Thames - Teddington",10330,51.9,81.9,83.4,"Richmond upon Thames"," 00BD","00BD",18.9351403678606,13.6,8.9,17.8,4.1
"597","00BCGU",11543,85.9,64.2,14.3,3,15.2,1.1,"00BC","00BC11543","Redbridge - Wanstead",11543,70.2,79.9,84.3,"Redbridge"," 00BC","00BC",19.3797106471455,14.5,30,22.8,5.7
"598","00AGGN",10955,92.1,65.2,34.1,5.2,12.6,0.7,"00AG","00AG10955","Camden - Highgate",10955,45.9,82.3,84.1,"Camden"," 00AG","00AG",17.8183477863989,15.2,20.2,27.1,5.5
